1|2015-03-21 17:34:18|2017-03-07 01:25:01|Chapter 1|0|31|1|0
2|2015-03-21 17:34:51|2015-11-04 02:20:30|Pluck the last feather off the chicken|1|1||0
3|2015-03-21 17:35:38|2015-10-26 00:43:12|Hand the chicken to your mother|2|1||0
4|2015-03-21 17:35:58|2015-10-26 00:43:11|She smirks, it's been three hours since you started working on the bird|3|1||0
5|2015-03-21 17:36:11|2016-03-31 00:49:47|Kick the bucket|1|2||0
6|2015-03-21 17:36:21|2015-10-26 06:40:26|literally, not metaphorically|5|0||0
7|2015-03-21 17:37:28|2016-06-25 00:41:53|"This is a fucking tree, you don't just cut down trees"|1|27||0
8|2015-03-21 17:38:07|2015-10-26 20:08:20|Staring down the old man, I reach for his axe|7|0||0
9|2015-03-21 17:38:50|2016-06-25 00:41:53|He spits on your hand with the accuracy of|7|25||0
10|2015-03-21 17:39:20|2016-06-25 00:41:53|old age cynicism and an overall ennui |9|30||0
11|2015-03-21 17:40:03|2016-03-31 00:56:47|a veteran sniper with absolutely no shell shock to speak of|9|2||0
12|2015-03-21 17:40:23|2015-08-05 01:09:11|a man who spits at a lot of things|9|0||0
13|2015-03-21 17:41:02|2015-08-05 00:15:39|The cow shit spills all over the kitchen floor|6|0||0
14|2015-03-21 17:41:10|2015-08-05 00:15:39|the freshly scrubbed kitchen floor|13|0||0
15|2015-03-21 17:41:46|2015-08-05 00:15:39|the maid dies inside and stares at you with newly redeadened eyes|14|0||0
16|2015-03-21 17:42:55|2015-08-05 00:15:39|"you don't know me" your shout back |15|0||0
17|2015-03-21 17:43:07|2015-08-05 00:15:39|entirely through body language and posture|16|0||0
18|2015-03-21 17:50:26|2015-12-02 19:52:19|After you jump, the cliff, the ocean surface, the rocks |1|0||0
19|2015-03-21 17:51:18|2015-12-02 19:52:19|are a series of stills flashing by at a leisurely rate|18|0||0
20|2015-03-21 18:09:17|2016-06-25 00:41:53|...|10|19||0
21|2015-03-21 18:10:10|2016-06-25 00:41:53|Dunes shifting molasses-like over each other|20|12||0
22|2015-03-21 18:11:00|2016-06-25 00:41:53|molding, shaping, evaporating, alive, dead|21|7||0
23|2015-03-21 18:11:27|2016-06-25 00:41:53|the sands already too full of life to support any kind of ecosystem|22|8||0
24|2015-03-21 18:12:23|2016-06-25 00:41:53|The biological sort of vitality would be out of place here|23|7||0
25|2015-03-21 18:40:14|2016-04-04 17:39:09|a middle aged alpaca with a chip on its shoulder|9|0||0
26|2015-03-24 00:45:33|2015-08-05 20:47:59|My place here is unknown|20|0||0
27|2015-03-24 00:45:45|2015-08-05 20:47:59|Haw many ways do you know|26|0||0
28|2015-03-24 00:45:57|2015-08-05 20:47:59|Take me where you will|27|0||0
29|2015-03-24 02:35:09|2015-12-02 19:52:19|a flash of a serious series of talks |19|0||0
30|2015-03-24 02:37:55|2015-12-02 19:52:09|And maybe a few less serious moments of banter|29|0||0
31|2015-03-24 03:25:39|2015-08-05 00:15:39|His eyes, Our eyes|8|0||0
32|2015-03-24 03:26:54|2015-10-26 20:08:20|The rain pours harder, my grip tightens|8|0||0
33|2015-03-24 03:31:18|2015-10-26 20:08:20|Eyes lock and he reaches for a rock|32|0||0
34|2015-03-24 03:31:37|2015-08-05 00:15:39|we leave kisses hanging in the air|31|0||0
35|2015-03-24 03:32:05|2015-08-05 00:15:39|...|34|0||0
36|2015-03-24 03:32:09|2015-08-05 00:15:39|but then...|35|0||0
37|2015-03-24 03:32:12|2015-08-05 00:15:39|we kiss|36|0||0
38|2015-03-24 03:32:18|2015-08-05 00:15:39|the end|37|0||0
39|2015-03-24 03:33:54|2015-08-05 00:15:39|basketball|34|0||0
40|2015-03-24 03:33:56|2015-08-05 00:15:39|djisjds|39|0||0
41|2015-03-24 03:33:57|2015-08-05 00:15:39|jsdijsidjsi|40|0||0
42|2015-03-24 03:33:57|2015-08-05 00:15:39|d|41|0||0
43|2015-03-24 03:33:58|2015-08-05 00:15:39|jfosjfopjsdfo|42|0||0
44|2015-03-24 03:34:03|2015-08-05 00:15:39|oooooooo hoops |43|0||0
45|2015-03-26 06:27:06|2016-04-04 17:39:09|after you tried to pet it.|25|1||0
46|2015-03-26 06:28:13|2016-04-04 17:39:09|I don't even know what a fucking tree is?|45|0||0
47|2015-03-26 06:55:44|2016-03-30 23:20:14|earth|24|1||0
48|2015-03-26 06:55:54|2016-03-30 23:20:14|Flawed|47|1||0
49|2015-03-26 06:55:59|2016-03-30 23:20:13|Science|48|2||0
50|2015-03-28 06:12:02|2015-10-19 02:53:50|boooo|30|0||0
